2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,9466,2197,292,
Autauga,18110,5908,643,
Cullman,32734,3730,814,
Limestone,28824,9340,1236,
Etowah,32132,10350,992,
Jackson,16643,3663,479,
Covington,13222,2379,217,
Fayette,6705,1358,133,
Escambia,10282,4698,233,
Perry,1403,3823,29,
Winston,9225,871,159,
Coosa,3376,1780,67,
Pike,7681,5039,305,
St. Clair,31579,5550,808,
Lowndes,1751,4882,43,
Randolph,7697,2290,143,
Chambers,7803,5763,212,
Clarke,7109,5712,115,
Clay,5230,1234,108,
Bullock,1139,3530,32,
Cherokee,8809,1524,170,
Lauderdale,27735,9877,1201,
Macon,1394,7237,117,
Montgomery,33928,58669,1975,
Walker,24208,4486,549,
Marshall,29217,4913,835,
DeKalb,21779,3682,625,
Russell,9210,9577,349,
Marengo,5224,5607,117,
Shelby,72846,22927,3435,
Madison,89199,62435,7839,
Geneva,9967,1522,170,
Barbour,5431,4848,111,
Coffee,15825,4194,494,
Pickens,5454,3972,68,
Washington,6031,2366,95,
Sumter,1581,4739,71,
Crenshaw,4511,1663,78,
Morgan,37392,11216,1383,
Blount,22808,2150,426,
Chilton,15068,2909,278,
Dallas,5784,12826,120,
Butler,4891,3716,78,
Henry,5623,2286,108,
Tallapoosa,12967,5271,266,
Calhoun,32803,13197,1376,
Baldwin,72780,18409,2901,
Jefferson,130614,151581,7916,
Lawrence,10732,3611,280,
Monroe,5771,4310,104,
Lee,34321,20987,2360,
Mobile,91087,68429,3871,
Colbert,16718,7296,612,
Hale,3172,4772,66,
Choctaw,4102,3109,57,
Lamar,5819,1035,77,
Dale,13798,4408,411,
Tuscaloosa,47701,31746,2261,
Talladega,20596,12108,514,
Bibb,6733,1874,141,
Conecuh,3413,3069,61,
Marion,11273,1432,207,
Wilcox,1737,4329,29,
Cleburne,5738,684,110,
Elmore,27619,8436,850,
Greene,838,4006,18,
Houston,30567,10547,916,
