2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,4119,1738,146,
Pinellas,238746,233327,19447,
Charlotte,60196,33421,2706,
Hardee,5238,2147,192,
Volusia,142763,108793,8748,
Bradford,8913,2924,261,
Hendry,6192,4610,304,
Jackson,14231,6383,383,
Lake,101888,62597,5413,
Orange,195091,329579,21130,
Escambia,88370,57114,6125,
Osceola,50252,85287,4442,
Collier,105297,60941,4267,
Leon,53777,91936,6212,
Dixie,5822,1270,110,
Clay,74898,27768,3697,
Palm Beach,270762,371411,15062,
Duval,210061,203627,15046,
Taylor,6923,2149,207,
Gulf,5320,1715,244,
Walton,25695,6861,1003,
Gilchrist,6740,1457,221,
Highlands,29509,14901,1179,
Columbia,20359,7599,738,
Sarasota,124098,97676,6735,
Okaloosa,71788,23711,5158,
Brevard,181620,119525,13192,
Levy,13758,5091,518,
Holmes,7476,852,178,
Santa Rosa,65126,18398,3908,
Madison,4849,3526,128,
Nassau,34221,10849,1467,
Flagler,33804,21985,1624,
Broward,258521,546956,17360,
Liberty,2542,651,102,
Manatee,101681,71066,5774,
Union,4567,1014,112,
Washington,8630,2261,253,
Sumter,52722,22631,1296,
Glades,2996,1271,88,
Wakulla,10507,4348,489,
Baker,10294,2112,228,
Hillsborough,265928,306422,22722,
Hamilton,3439,1899,113,
DeSoto,6744,3761,256,
Seminole,109265,105611,9501,
Putnam,21873,9920,859,
Alachua,46584,75370,5873,
Miami-Dade,333666,623006,21998,
Calhoun,4647,1236,184,
Jefferson,3930,3537,174,
Monroe,21885,18949,1600,
Martin,53182,30158,2401,
Lee,191141,124725,9931,
St. Johns,88633,43037,4722,
Citrus,54377,22765,2448,
Gadsden,6721,14994,364,
Lafayette,2795,515,65,
St. Lucie,70248,66812,3671,
Polk,157216,117182,9430,
Okeechobee,9342,3953,337,
Suwannee,14281,3955,439,
Bay,62010,21689,3452,
Marion,107710,61958,4817,
Pasco,141943,89998,8873,
Indian River,48564,28997,2336,
Hernando,59029,31818,3031,
