2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,3153,1490,272,
Allamakee,4072,2409,356,
Louisa,3060,1643,240,
Chickasaw,3739,2264,364,
Cedar,5275,3578,533,
Fayette,5591,3666,556,
Boone,7458,5517,1009,
Osceola,2528,552,117,
Howard,2611,1674,222,
Dubuque,23384,22774,2879,
Floyd,4371,3177,437,
Hardin,5231,2774,418,
Cerro Gordo,11583,9840,1210,
Story,19111,25085,4714,
Buena Vista,4895,2851,433,
Clarke,2706,1463,236,
Kossuth,5637,2529,339,
Cherokee,4188,1676,322,
Montgomery,3431,1312,255,
Plymouth,9659,2878,520,
Delaware,5688,2956,521,
Clayton,5309,3236,553,
Wapello,8710,5591,695,
Buchanan,5504,3966,667,
Webster,10049,6293,897,
Wayne,2069,719,133,
Linn,48183,58481,8000,
Cass,4755,1946,354,
Monona,3115,1244,166,
Pocahontas,2692,962,177,
Appanoose,4031,1813,252,
Hancock,3972,1582,261,
Pottawattamie,24441,15341,2444,
Union,3521,1920,327,
Washington,6170,3938,716,
Jones,5718,3779,514,
Keokuk,3385,1265,208,
Winneshiek,5332,5238,647,
Woodbury,24627,16102,2204,
Mitchell,3180,1879,301,
Van Buren,2524,843,159,
Dallas,19288,15662,2667,
Butler,4918,2163,376,
Fremont,2401,959,194,
Des Moines,9479,8178,1056,
Johnson,20993,49942,4702,
Calhoun,3466,1396,243,
Adams,1393,565,124,
Jefferson,3738,3702,561,
Lyon,5188,917,231,
Benton,8226,4672,792,
Audubon,2135,1079,165,
Carroll,6627,3305,503,
Jasper,10556,7108,1112,
Palo Alto,3079,1395,200,
Greene,2819,1688,255,
Scott,39083,40302,5493,
Dickinson,6743,3051,453,
Ida,2655,792,143,
Humboldt,3564,1251,218,
Page,4875,1801,292,
Jackson,5821,3837,546,
Davis,2721,976,161,
Worth,2443,1523,250,
Mahaska,7404,2606,484,
Clay,5870,2246,426,
Poweshiek,4936,4272,485,
Taylor,2108,755,140,
Winnebago,3437,1920,360,
Marshall,9125,7623,952,
Clinton,11249,10079,1420,
Ringgold,1820,753,111,
Iowa,5193,3070,526,
Harrison,4892,2123,363,
Sac,3692,1269,197,
Shelby,4340,1649,281,
Madison,5336,2666,521,
Tama,4968,3194,474,
Wright,3790,1890,269,
Bremer,7199,5349,802,
Decatur,2296,1201,206,
Warren,14773,10371,1772,
Hamilton,4450,2715,424,
Guthrie,3603,1720,331,
Mills,5050,2080,478,
O'Brien,5735,1314,299,
Grundy,4516,1847,403,
Muscatine,9549,8284,1253,
Henry,5764,2897,625,
Sioux,14761,2289,939,
Adair,2456,1127,176,
Lucas,2873,1236,188,
Monroe,2635,1053,156,
Black Hawk,27382,32006,3833,
Emmet,3121,1356,230,
Lee,8762,6195,936,
Crawford,4608,1985,269,
Polk,93421,119671,15328,
Marion,10940,5469,1145,
