2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,13101,4711,721,
Whiteside,12597,11005,1608,
McDonough,6789,5278,843,
Fayette,7363,1814,338,
Boone,12261,8952,1391,
Pike,5749,1412,297,
Hardin,1650,419,64,
Macoupin,14194,6532,1155,
St. Clair,53479,60180,5542,
Macon,26782,18211,2290,
Montgomery,8616,3490,723,
Effingham,13613,3071,744,
Cumberland,4200,1028,285,
Moultrie,4453,1476,280,
DeKalb,19051,20348,3206,
Wayne,6963,1048,245,
Douglas,5695,1946,448,
Logan,8167,3301,662,
Mason,4051,2008,374,
Iroquois,9728,2496,699,
DuPage,164355,222499,26075,
Cass,3216,1617,221,
Edgar,5634,1778,371,
Wabash,4039,1146,217,
Cook,440213,1528582,86420,
Saline,8248,2551,435,
Hancock,5713,1744,361,
Union,5780,2389,345,
Washington,5566,1446,364,
Stephenson,10845,7531,1149,
Morgan,9060,4693,854,
Williamson,21503,8539,1380,
Tazewell,38620,20568,4159,
Ogle,14344,8025,1429,
McHenry,71117,59827,9201,
Champaign,33235,49694,6267,
Johnson,4644,1135,238,
Calhoun,1719,739,98,
Adams,22732,7633,1405,
Jefferson,11681,4408,729,
Lawrence,4517,1288,234,
Piatt,5623,2633,643,
Carroll,4428,2437,489,
Jasper,3973,924,207,
Pope,1678,374,80,
Edwards,2777,432,103,
De Witt,5072,1907,490,
Woodford,13180,5068,1141,
Henderson,2153,1151,176,
Greene,4139,1202,201,
Mercer,4800,3061,556,
Scott,1965,528,90,
Kankakee,25081,18908,2567,
Gallatin,1942,656,93,
Jackson,10889,11619,2001,
Lake,108608,168186,16780,
Richland,5736,1579,315,
Kane,82087,99389,12024,
Knox,10658,9939,1367,
Perry,6816,2433,457,
Peoria,35299,37436,4730,
Jersey,7737,2673,499,
Randolph,9992,3421,619,
Clay,5009,1014,255,
Winnebago,53922,52595,6510,
Marshall,3776,1784,343,
Clinton,12394,3939,935,
Vermilion,18582,9876,1341,
Shelby,8209,2279,424,
Rock Island,26969,32258,3744,
Fulton,8482,6118,1009,
McLean,37081,35918,5996,
Brown,1776,475,85,
Madison,70295,50336,7271,
Alexander,1496,1262,62,
Massac,4844,1555,234,
Pulaski,1583,817,73,
Jo Daviess,6113,4452,612,
Warren,4267,2983,450,
Clark,5620,1873,326,
Schuyler,2523,1074,195,
Hamilton,3205,800,138,
Will,129726,146230,15054,
Grundy,13417,8021,1453,
LaSalle,26269,19277,2901,
Henry,13962,8835,1435,
Bureau,9264,6010,1029,
Putnam,1762,1143,171,
Livingston,10197,4005,894,
Monroe,12614,5522,938,
Coles,12985,7285,1310,
Lee,8597,5499,1119,
White,5639,1412,238,
Christian,10522,3982,806,
Crawford,6146,1969,392,
Kendall,24152,23392,3271,
Ford,4474,1410,405,
Menard,4230,1808,385,
Marion,11677,4231,692,
Bond,4884,2066,512,
Sangamon,49823,40731,5918,
Stark,1777,748,182,
