2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,7025,2829,804,
Stanton,580,132,30,
Rawlins,1209,160,79,
Hodgeman,845,124,37,
Haskell,1011,228,61,
Ottawa,2261,424,181,
Lincoln,1168,214,66,
Cherokee,6017,1959,410,
Montgomery,8466,2557,600,
Smith,1635,295,84,
Lane,684,104,43,
Allen,3575,1398,341,
Rooks,1999,273,106,
Chase,964,313,65,
Sheridan,1186,126,50,
Cheyenne,1172,188,49,
Russell,2544,454,150,
Douglas,14308,30089,3834,
Logan,1124,149,75,
Nemaha,4066,714,245,
Labette,5232,2234,453,
Linn,3377,721,181,
Saline,13367,6084,1755,
Washington,2136,378,163,
Ellsworth,1933,515,178,
Wichita,765,139,30,
Ness,1216,160,59,
Mitchell,2216,469,139,
Woodson,1063,270,87,
Osborne,1437,231,85,
Pawnee,1872,567,163,
Butler,18781,6489,1781,
Thomas,2832,467,184,
Johnson,133907,126324,19522,
Jefferson,5112,2483,556,
Lyon,6354,4456,935,
Kiowa,855,111,57,
Norton,1808,277,105,
Harper,1950,388,175,
Reno,15100,6670,1678,
Greeley,523,83,33,
Edwards,1033,208,67,
Trego,1211,193,55,
Cowley,8016,3436,719,
Wyandotte,15520,29346,2601,
Scott,1832,232,95,
Graham,1013,185,67,
Dickinson,5905,1582,521,
Elk,1048,160,51,
Meade,1390,206,79,
Stafford,1485,303,96,
Seward,3025,1491,227,
Jackson,3888,1489,350,
Kearny,1048,224,53,
Barber,1822,281,106,
Ellis,8311,2669,680,
Gove,1127,149,52,
Morris,1790,586,192,
Kingman,2507,594,180,
Doniphan,2601,584,181,
Neosho,4340,1464,347,
Coffey,2990,719,253,
Clay,2831,665,231,
Gray,1651,257,103,
Pratt,2824,769,213,
Jewell,1204,180,99,
Greenwood,2146,484,181,
Pottawatomie,7451,2191,717,
Marshall,3250,1060,268,
Barton,7766,1823,499,
Wallace,711,45,23,
Finney,6155,3006,570,
Geary,4116,2569,444,
Brown,2861,850,249,
Phillips,2200,296,115,
Republic,1993,370,121,
Decatur,1220,178,62,
Clark,813,118,52,
Leavenworth,17387,10064,2225,
Morton,970,145,45,
Sumner,6844,2039,611,
Hamilton,690,114,43,
Sherman,2043,340,154,
Atchison,3977,1946,470,
Bourbon,4314,1306,298,
Riley,9817,8892,1766,
Chautauqua,1552,236,57,
Comanche,705,102,50,
Rice,2652,668,247,
Rush,1177,227,70,
Grant,1755,427,129,
Stevens,1564,215,74,
Shawnee,35349,33270,5029,
Wilson,2747,550,185,
Anderson,2386,665,226,
McPherson,8407,3183,853,
Miami,9839,3949,924,
Sedgwick,101319,66716,12715,
Wabaunsee,2358,773,209,
Osage,4713,1730,451,
Cloud,2856,744,231,
Crawford,8394,5064,946,
Harvey,8503,5006,1031,
Ford,4994,2032,399,
Marion,3928,1177,360,
