2016 US Presidential Election,Trump,Clinton,Independent,
Dickinson,8580,3923,637,
Baraga,2158,1156,172,
Shiawassee,19232,12547,2265,
Leelanau,7239,6774,744,
Kalamazoo,51031,67142,7793,
Grand Traverse,27412,20964,3084,
Jackson,39793,25795,3979,
Lake,3159,1939,230,
Oakland,289127,342976,31152,
Genesee,84174,102744,9217,
Osceola,7336,2705,556,
Roscommon,8141,4287,608,
Manistee,6915,4979,704,
Newaygo,15174,6212,1219,
St. Clair,49067,24553,4374,
Ottawa,90456,46276,8673,
Montmorency,3498,1286,224,
Gratiot,9878,5665,899,
Iosco,8344,4344,661,
Ontonagon,2069,1175,176,
Alpena,9090,4877,721,
Marquette,14646,16042,2209,
Lenawee,26428,16750,2717,
Benzie,5539,4108,574,
Huron,10629,4579,640,
Clinton,21635,16490,2439,
Sanilac,13446,4873,924,
Allegan,33812,17932,3409,
Wayne,228908,517842,28700,
Oceana,7228,3973,702,
Midland,23877,15655,2847,
Montcalm,16907,7874,1775,
Mason,8505,5281,872,
Barry,19197,9109,1959,
Ionia,16374,8206,1784,
Mecosta,10305,5827,1017,
Arenac,4704,2238,515,
Washtenaw,50335,128025,8841,
Berrien,38646,29496,3740,
Oscoda,2843,1044,175,
Antrim,8469,4448,655,
Cheboygan,8680,4302,665,
Cass,14241,7270,1761,
Ingham,44354,81266,7858,
Clare,8507,4250,628,
Gogebic,4019,2925,369,
Iron,3675,2004,231,
St. Joseph,14886,7529,1350,
Lapeer,30037,12734,2355,
Houghton,8475,6018,1130,
Schoolcraft,2556,1369,226,
Missaukee,5386,1565,350,
Branch,11025,4740,725,
Mackinac,3740,2085,263,
Otsego,8266,3556,707,
Van Buren,17890,13258,2065,
Saginaw,45469,44395,4334,
Gladwin,8124,3794,554,
Macomb,224589,176238,17946,
Alcona,4201,1732,246,
Hillsdale,14094,4799,987,
Kent,147959,138567,19744,
Calhoun,31489,24154,3143,
Muskegon,35962,36640,4512,
Tuscola,17421,7493,1243,
Charlevoix,8674,5137,756,
Livingston,65665,34378,5534,
Wexford,10000,4436,843,
Chippewa,9120,5378,936,
Monroe,43255,26859,3987,
Emmet,10616,6972,1186,
Kalkaska,6213,2279,428,
Eaton,27608,24534,3544,
Menominee,6704,3539,522,
Alger,2585,1663,265,
Luce,1756,681,139,
Delta,11112,6431,924,
Crawford,4354,2110,369,
Isabella,12338,11404,1602,
Keweenaw,814,527,88,
Bay,28327,21641,2964,
Presque Isle,4486,2400,329,
Ogemaw,6827,3030,529,
