2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,49554,17322,2469,
Indiana,24920,11468,1340,
Bradford,17957,6263,1179,
Elk,9704,3637,513,
Tioga,12928,3642,764,
Wyoming,8375,3573,470,
Erie,57168,54820,5252,
Cameron,1495,469,60,
Northumberland,24418,9184,1369,
Fayette,34388,17826,1212,
Perry,15613,4630,910,
Pike,16035,9247,784,
Lackawanna,48102,51593,3045,
Westmoreland,116427,59506,5807,
Potter,6247,1300,230,
Juniata,8234,1810,358,
Snyder,11710,3991,632,
McKean,11159,3802,611,
Montgomery,160803,251063,15623,
Montour,5274,2851,410,
Cumberland,65649,44282,5137,
Delaware,106559,169169,9104,
Clinton,9701,4533,605,
Mifflin,14050,3563,626,
Chester,115582,140188,10867,
Wayne,15269,6398,698,
Columbia,17387,8502,1238,
Sullivan,2318,756,94,
Schuylkill,43937,16724,2089,
Venango,15254,5889,953,
Fulton,5676,904,163,
Lycoming,35475,12926,1893,
York,126933,67428,8792,
Berks,93094,75169,7671,
Dauphin,60620,64287,5253,
Lehigh,70285,77087,5659,
Susquehanna,13295,5065,840,
Union,10605,6138,657,
Washington,58941,34436,3568,
Armstrong,22676,6849,921,
Warren,12032,4828,764,
Clarion,12545,4256,680,
Beaver,46081,30225,2730,
Allegheny,257488,363017,22668,
Butler,61388,26834,3805,
Somerset,27347,7367,1016,
Bucks,163873,165861,12838,
Cambria,40510,17798,1859,
Adams,31249,14077,1812,
Jefferson,14533,3437,581,
Lawrence,25323,13933,1299,
Lancaster,137145,90066,11940,
Monroe,31706,31930,2308,
Centre,35099,36555,3740,
Clearfield,23909,7700,1083,
Carbon,18714,8917,1090,
Lebanon,38804,17860,2242,
Luzerne,77508,51454,3769,
Blair,37224,13093,1712,
Crawford,23912,10215,1436,
Bedford,19455,3613,436,
Forest,1680,626,92,
Huntingdon,14369,4487,640,
Philadelphia,105418,560542,14267,
Greene,10394,4157,404,
Mercer,30034,17631,1929,
Northampton,71384,65936,5455,
