2016 US Presidential Election,Trump,Clinton,Independent,
Newberry,10011,6212,572,
Charleston,75233,89048,11569,
Oconee,24096,7979,1455,
York,66245,41230,5950,
Dillon,5637,5832,227,
Florence,29498,26630,1642,
Aiken,45981,25426,3366,
Berkeley,44223,30492,4204,
Darlington,14973,13866,797,
Kershaw,17464,10293,1118,
Edgefield,6842,4491,311,
Pickens,36096,10327,2448,
Richland,52753,108401,8246,
Lexington,79866,35143,6820,
Union,7058,4727,302,
Sumter,18733,24024,1291,
Horry,83819,36731,3953,
Williamsburg,4863,9949,237,
Dorchester,34932,24010,3521,
Georgetown,17334,13234,951,
Saluda,5525,2809,225,
Calhoun,3785,3569,199,
Cherokee,15165,6089,500,
Greenwood,16881,10633,1086,
Greenville,125595,73338,12639,
Marlboro,4257,5928,168,
Lancaster,23598,13718,1401,
Bamberg,2197,3886,112,
Beaufort,39986,29577,3207,
Spartanburg,76101,39888,4804,
Hampton,3483,5163,148,
Anderson,56109,21040,3147,
Lee,2789,5170,151,
Clarendon,7246,7635,275,
Chester,7272,6582,348,
Abbeville,6742,3712,270,
Barnwell,4888,4395,196,
Jasper,6100,7789,327,
Colleton,9083,7616,532,
Orangeburg,11909,26258,657,
Allendale,788,2722,68,
McCormick,2651,2479,85,
Fairfield,4024,6936,292,
Marion,5434,8522,261,
Laurens,16770,8845,859,
Chesterfield,9576,7125,427,
