2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,11526,4372,465,
Pickett,2019,536,54,
Claiborne,8589,1831,286,
Dyer,10175,2815,300,
Bledsoe,3621,896,133,
Haywood,3010,3704,110,
Jackson,3229,1129,89,
Lake,1357,577,36,
Carter,16897,3453,643,
Fentress,6032,1100,179,
Fayette,13046,5865,395,
Sequatchie,4434,1051,182,
Knox,105724,62861,10681,
Moore,2325,496,105,
Perry,2167,597,91,
Rutherford,64428,36627,5463,
Hamblen,15839,4075,665,
Cocke,9791,1980,337,
Hardin,8012,1622,315,
Lincoln,10375,2550,345,
Trousdale,2099,943,100,
Clay,2140,707,72,
Maury,23781,10026,1261,
Hawkins,16611,3502,581,
Lauderdale,4884,3656,138,
Macon,6260,1071,159,
Montgomery,32320,21686,3272,
Campbell,9860,2248,396,
Smith,5485,1688,237,
Weakley,9001,2770,356,
Hardeman,4912,4174,156,
Marshall,8167,2848,387,
Cumberland,20410,5202,686,
Tipton,16893,5779,700,
Chester,3827,902,121,
DeKalb,5164,1566,210,
Meigs,3337,856,118,
Wayne,5034,717,91,
Obion,9525,2425,273,
Sullivan,45577,11910,2373,
Robertson,19393,6634,1015,
Shelby,114948,206640,10273,
Giles,7964,2915,241,
Madison,21321,15438,1005,
Cannon,4006,1126,167,
Bradley,29761,7070,1561,
Hancock,1842,322,65,
Coffee,14409,4741,745,
McMinn,14673,3507,514,
Stewart,3864,1222,197,
Union,5024,1010,170,
Washington,34179,13003,2229,
Decatur,3580,894,103,
Warren,9535,3535,495,
Loudon,17588,4916,800,
Morgan,5429,1053,182,
Williamson,68160,30992,5548,
Blount,37385,12085,2379,
Rhea,8650,1942,354,
Sumner,50105,18153,2822,
Hamilton,78661,55260,7167,
Humphreys,4928,1967,244,
Van Buren,1820,539,58,
Cheatham,11295,3877,651,
Grundy,3626,998,126,
Henry,9483,3061,343,
Dickson,13213,4718,688,
Davidson,84365,148473,13361,
Putnam,18981,6847,1130,
Grainger,6618,1154,213,
Hickman,5685,1823,254,
Johnson,5400,988,168,
Unicoi,5666,1260,240,
Jefferson,14760,3490,744,
Lawrence,12419,2821,418,
Wilson,39304,14356,2626,
Monroe,13361,3184,505,
Benton,4715,1474,133,
Gibson,13779,5255,450,
Roane,15863,4833,884,
Anderson,19201,9010,1512,
McNairy,7839,1847,349,
Carroll,7731,2323,279,
Overton,6055,1943,197,
White,7657,1842,277,
Lewis,3579,890,132,
Polk,5097,1252,171,
Bedford,11455,3384,461,
Crockett,3977,1302,107,
Sevier,28610,6293,1277,
Marion,7680,2829,323,
Henderson,8118,1796,258,
Greene,18538,4211,742,
Houston,2180,865,120,
Scott,6044,934,145,
