2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,1421,2516,103,
Louisa,10507,6208,792,
New Kent,8117,3545,501,
Henrico,59674,93615,8677,
Bath,1548,603,92,
Northumberland,5089,2830,257,
Covington,1349,914,106,
Orange,10511,5955,691,
Isle of Wight,11971,7673,837,
Fredericksburg,3731,6690,714,
Westmoreland,4331,3723,237,
Floyd,5289,2300,383,
Martinsville,2149,3531,193,
Colonial Heights,5681,2367,379,
Arlington,20155,91879,7310,
Buena Vista,1432,693,270,
King William,5963,2752,373,
Clarke,4657,3047,427,
Brunswick,3045,4473,127,
Fluvanna,7018,5751,723,
Nelson,4150,3677,420,
Frederick,26069,11920,2144,
Montgomery,19455,20015,3225,
Hopewell,3885,4722,361,
Cumberland,2693,2032,150,
Hampton,17802,41030,2657,
Waynesboro,4798,3762,554,
Wythe,10044,2765,441,
Fairfax,3695,7363,796,
Buchanan,7292,1721,207,
Russell,9516,2328,351,
Mecklenburg,8283,6571,323,
Amherst,9643,4986,535,
Suffolk,17206,23012,1711,
Middlesex,3668,2107,219,
Smyth,9747,2661,417,
Nottoway,3712,2829,176,
Winchester,4786,5161,627,
Chesterfield,84938,80993,9357,
Norfolk,19875,51429,3868,
Albemarle,19232,33297,3605,
Hanover,39592,19360,3361,
Manassas,5934,8395,881,
Virginia Beach,84389,76744,10743,
Pittsylvania,21742,9195,750,
Manassas Park,1732,3218,264,
Rappahannock,2532,1741,171,
Washington,19309,5548,858,
Amelia,4704,2150,181,
Alleghany,4873,2165,268,
Tazewell,15160,2895,440,
Gloucester,13087,5399,1038,
Salem,7225,4212,692,
Williamsburg,1921,5199,414,
King George,7338,4002,627,
Accomack,8582,6737,436,
Augusta,26152,8108,2401,
Staunton,5129,5329,686,
Norton,1021,383,52,
Dinwiddie,7447,5765,321,
Poquoson,5089,1599,426,
Halifax,9698,6890,358,
Appomattox,5714,2023,217,
Chesapeake,53988,52554,5285,
Carroll,10653,2557,377,
Southampton,5035,3595,242,
Dickenson,4932,1335,138,
Rockbridge,6671,3506,508,
King and Queen,2059,1451,105,
Galax,1603,680,80,
Greene,5943,2923,637,
Northampton,2686,3255,193,
Scott,8242,1579,234,
Mathews,3515,1563,214,
Charlotte,3479,2153,160,
Stafford,33840,27879,3631,
Prince William,54065,83093,7696,
Page,7824,2514,325,
Lexington,766,1514,168,
Emporia,792,1531,44,
Petersburg,1448,12005,264,
Bristol,4884,1832,250,
Alexandria,13241,57147,3996,
Fauquier,22110,12960,2054,
Campbell,19442,6597,1179,
Prince Edward,4099,4590,424,
Lunenburg,3206,2226,145,
Caroline,7143,6425,621,
Greensville,1737,2558,68,
Botetourt,13369,4492,780,
Craig,2139,541,104,
Goochland,8374,4884,672,
Portsmouth,12773,28462,1765,
Buckingham,3969,3128,187,
Richmond,14254,74640,5830,
Surry,1785,2069,122,
Giles,5930,1949,317,
Madison,4418,2202,314,
Newport News,23650,40997,3785,
York,18823,12989,2250,
Radford,2637,2923,472,
Lynchburg,17979,14787,2583,
Roanoke,16045,23403,2280,
Pulaski,10314,4170,628,
Harrisonburg,6232,10100,1361,
Warren,11762,5165,864,
Shenandoah,14078,5269,988,
Essex,2657,2541,156,
Rockingham,25269,9361,1906,
Grayson,5593,1407,258,
Sussex,2055,2874,107,
Henry,15207,8199,623,
Highland,958,371,62,
Charlottesville,2951,17865,1395,
Culpeper,13341,7744,1002,
Spotsylvania,34619,24204,3260,
Falls Church,1323,5810,534,
Lancaster,3520,2862,217,
Lee,7542,1627,184,
Wise,11983,2687,321,
Charles City,1381,2244,120,
Danville,7306,11051,505,
Patrick,6454,1768,267,
Loudoun,69633,99909,10723,
Bedford,30578,9733,1875,
Bland,2572,453,99,
James City,21284,19091,2362,
Powhatan,11875,4057,862,
Prince George,9157,6419,564,
