2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,5034,1376,288,
Hempstead,4391,2371,222,
Yell,4600,1472,317,
Desha,1915,2227,84,
Searcy,2955,601,142,
Prairie,2503,812,89,
Sharp,5405,1472,313,
Ouachita,5347,4320,214,
Jackson,3262,1583,248,
Stone,4081,1189,257,
Boone,12225,2925,762,
Perry,2979,1035,199,
Howard,3155,1350,129,
Pike,3150,684,122,
Little River,3604,1397,191,
Faulkner,29170,14525,2669,
Lincoln,2455,1252,107,
Randolph,4508,1425,380,
Clay,3779,1999,200,
St. Francis,3195,4031,186,
Hot Spring,8153,3137,525,
Montgomery,2573,735,137,
Baxter,14655,4163,754,
Mississippi,6988,5621,386,
Newton,2875,699,157,
Columbia,5456,3140,241,
Logan,5737,1712,390,
Miller,11293,4273,449,
Chicot,1716,2350,83,
Drew,3967,2364,221,
Fulton,3470,1067,207,
Madison,4917,1587,278,
Bradley,2163,1317,137,
Craighead,22798,10474,1696,
Cross,4577,1995,259,
Saline,35852,13247,2872,
Phillips,2443,4292,159,
Arkansas,3825,1939,403,
Cleveland,2460,723,116,
Pulaski,61182,89377,7169,
Union,10201,5667,470,
Washington,40418,32296,5439,
Clark,4398,3606,361,
Van Buren,5382,1547,182,
Dallas,1507,1165,69,
Crittenden,6953,8368,477,
Izard,4042,1111,243,
Nevada,2001,1156,76,
Grant,5160,1407,288,
Johnson,6072,2421,504,
Calhoun,1554,636,60,
Independence,9925,2878,640,
Jefferson,9231,15721,731,
Lawrence,4064,1263,302,
Conway,4844,2655,338,
Monroe,1400,1298,68,
Benton,60751,27894,5617,
Woodruff,1344,1117,89,
Lee,1229,1735,40,
Carroll,6773,3334,549,
Pope,15694,4818,1033,
White,21038,5157,1256,
Lafayette,1750,1028,57,
Poinsett,3149,1878,256,
Crawford,16655,4476,1024,
Polk,6606,1210,305,
Ashley,5338,2408,281,
Garland,26053,12283,2001,
Sevier,3281,1075,161,
Marion,5077,1377,264,
Lonoke,19902,5638,1226,
Sebastian,28769,12184,2604,
Cleburne,9454,2101,413,
Greene,10698,3056,668,
Scott,2378,507,132,
