2016 US Presidential Election,Trump,Clinton,Independent,
Colusa,3551,2659,384,
Solano,49595,97159,9313,
Mariposa,5185,3122,570,
Trinity,2409,1876,431,
Humboldt,10883,19596,3157,
Marin,17531,86650,5760,
Amador,10239,5904,1043,
Lake,5752,6240,1053,
Sierra,1048,601,155,
El Dorado,47633,35243,6352,
Orange,472669,556544,62903,
Contra Costa,105819,286658,23495,
San Joaquin,68316,89791,8540,
San Benito,6471,10050,1051,
Calaveras,13072,7738,1524,
San Diego,386807,567243,57601,
Yolo,13178,34460,2985,
Kern,119164,86481,12080,
Ventura,118764,170489,18628,
Shasta,47587,20471,4496,
Mendocino,3571,6905,959,
Napa,11946,26161,2286,
San Bernardino,253962,312517,32304,
Lassen,7574,2224,624,
Sacramento,163024,273768,30734,
Tuolumne,13486,8580,1406,
Siskiyou,11212,7106,1518,
Mono,2080,2696,378,
Alpine,211,318,46,
Stanislaus,72960,73939,9242,
Fresno,113949,123660,12655,
Inyo,4248,3155,593,
Santa Cruz,20158,85185,8166,
Alameda,91189,486351,35655,
Modoc,2413,798,148,
Placer,78977,61969,9586,
Tehama,14981,6571,1323,
Plumas,5079,3224,527,
Butte,42193,38676,6978,
Kings,17446,12902,1902,
Madera,19221,13283,1759,
Santa Clara,137452,483472,38224,
Yuba,12313,7234,1511,
Del Norte,5134,3485,742,
Glenn,5788,3065,526,
Nevada,14686,16199,2373,
San Luis Obispo,52672,63001,8902,
Merced,18486,21856,2181,
Sonoma,37421,116027,10612,
Sutter,16780,11831,1818,
Santa Barbara,53740,100120,10364,
San Francisco,34493,312443,18359,
Tulare,50488,39099,4984,
Los Angeles,620285,1893770,138017,
Imperial,11295,28467,1989,
Monterey,26378,64733,5565,
Riverside,309514,339145,34953,
San Mateo,53731,219580,14188,
