2016 US Presidential Election,Trump,Clinton,Independent,
Moffat,5293,874,343,
Clear Creek,2426,2585,521,
Gilpin,1564,1634,376,
Huerfano,1875,1631,266,
Jackson,628,171,63,
Lake,1264,1600,311,
Summit,5064,9502,1495,
Montrose,14303,5438,1329,
Routt,5149,7487,1136,
San Miguel,1030,2960,321,
Crowley,1069,336,106,
Larimer,82624,92170,19103,
Custer,2059,797,208,
Chaffee,5283,4773,943,
Lincoln,1873,399,130,
Eagle,8153,12652,1806,
Mesa,48129,20958,5789,
El Paso,176506,105807,30960,
Boulder,38766,124715,13254,
Pueblo,27746,27945,4421,
Hinsdale,339,197,53,
Teller,9580,3547,1076,
Rio Blanco,2782,433,221,
Alamosa,3031,3168,698,
Archuleta,4234,2489,567,
Park,6053,3351,841,
Cheyenne,905,127,44,
Otero,2988,1719,331,
Douglas,100178,67045,15695,
Logan,7272,1843,587,
Montezuma,7771,3920,1015,
Rio Grande,3060,1985,443,
Conejos,1885,1753,332,
Garfield,13071,11205,2052,
Dolores,936,227,67,
Phillips,1791,436,105,
Kit Carson,2894,526,193,
Washington,2284,289,135,
Weld,75882,45869,12039,
Las Animas,3656,2614,423,
Elbert,11536,3056,1097,
Morgan,8104,3128,656,
Prowers,3508,1173,297,
Costilla,581,1109,130,
Denver,43637,174611,14043,
Fremont,15066,5275,1539,
Mineral,344,237,71,
San Juan,215,265,26,
Baca,1716,278,113,
Saguache,1109,1345,253,
Adams,73807,86471,14847,
Jefferson,130233,151885,27411,
Kiowa,726,91,36,
Arapahoe,109638,148365,23655,
La Plata,12471,15300,2951,
Grand,4467,3319,727,
Sedgwick,1015,267,82,
Ouray,1337,1690,260,
Pitkin,2522,7239,626,
Delta,11584,4048,1029,
Bent,1166,581,145,
Gunnison,3250,5068,981,
Yuma,3755,701,208,
