2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,7054,1243,177,
Paulding,44646,18004,1951,
Spalding,15636,9347,957,
Tift,8680,3892,224,
Talbot,1196,2001,46,
Bacon,3356,607,47,
Fayette,35034,23255,2098,
Haralson,9579,1474,264,
Pierce,6301,903,93,
Terrell,1872,2267,40,
Upson,7288,3471,165,
Pike,7273,1239,163,
Brantley,5561,619,105,
Screven,3305,2300,94,
Floyd,24045,9127,1078,
Lincoln,2759,1271,70,
Camden,12287,5914,624,
Clarke,12691,29514,2016,
Bryan,10513,4010,540,
Burke,4491,4730,129,
Cherokee,80611,25203,5011,
Macon,1540,2705,42,
Montgomery,2668,847,45,
Bulloch,14476,8812,863,
Effingham,17865,4851,679,
Barrow,21105,6580,1143,
Clinch,1724,685,34,
Clayton,11740,75908,1588,
McDuffie,5432,3699,137,
Heard,3370,743,93,
Webster,630,471,13,
Wilkes,2569,1844,57,
DeKalb,47531,239131,9209,
Wayne,8147,2039,190,
Newton,20907,21936,944,
Douglas,24803,30971,1591,
Hart,7285,2583,209,
Troup,15643,9597,553,
Laurens,12401,6737,310,
Berrien,5408,1041,114,
Meriwether,5216,3800,165,
Dawson,9880,1444,356,
Dooly,1941,1860,35,
Dodge,5021,1836,138,
Muscogee,26901,39602,1817,
Cook,4175,1752,111,
Dougherty,10227,23224,474,
Hancock,841,2695,36,
Murray,10340,1799,283,
Coffee,9575,4090,231,
Rockdale,13463,23206,920,
Union,9849,1962,228,
Washington,4138,4187,97,
Sumter,5275,5520,178,
Jones,8304,3960,260,
Morgan,6559,2658,218,
Baker,775,650,15,
Mitchell,4272,3492,93,
Banks,6130,684,132,
Forsyth,69801,23427,4086,
Chatham,43649,58998,3366,
Seminole,2343,1186,48,
Wheeler,1421,646,35,
Taliaferro,349,545,3,
Emanuel,5330,2433,75,
Thomas,11225,7138,367,
Johnson,2519,1136,27,
Calhoun,829,1178,16,
Stephens,7682,1835,243,
Baldwin,7691,7965,419,
Jefferson,3057,3809,68,
Tattnall,5092,1678,109,
Harris,11931,4082,379,
Jeff Davis,4102,901,86,
Toombs,6612,2338,158,
Schley,1472,401,36,
Bleckley,3717,1094,123,
Lumpkin,9613,2216,495,
Carroll,29983,12422,1339,
Crisp,4539,2835,126,
Jasper,4353,1544,119,
Whitfield,21514,7925,923,
Evans,2404,1130,68,
Butts,6717,2566,194,
Hall,51681,16153,2299,
Chattahoochee,746,593,45,
Rabun,6287,1443,219,
Greene,5488,3194,149,
Treutlen,1808,860,32,
Appling,5492,1434,77,
Lanier,1984,805,72,
Ben Hill,3734,2098,91,
Jackson,21754,4469,834,
Worth,6144,2015,107,
McIntosh,3482,2298,113,
Telfair,2449,1313,32,
Lowndes,21308,14614,891,
Randolph,1270,1597,28,
Chattooga,6457,1612,177,
Habersham,13184,2483,461,
Clay,566,697,8,
Brooks,3679,2504,85,
Bartow,29879,8204,1180,
Taylor,2062,1295,45,
Walker,18938,4213,788,
Charlton,2950,1004,54,
Wilkinson,2332,1893,51,
Walton,31093,8279,1053,
Jenkins,1892,1108,34,
Columbia,43060,18863,2267,
Ware,8508,3436,206,
Miller,1888,622,30,
Long,2623,1356,130,
Twiggs,2034,1970,49,
Early,2552,2165,65,
Catoosa,20860,4769,881,
Fannin,9622,1920,222,
Richmond,24441,48707,1804,
Fulton,110372,281875,14926,
Madison,9195,2423,327,
Atkinson,1873,696,35,
Oconee,12885,5253,892,
Peach,5405,5083,211,
Irwin,2711,890,58,
Gwinnett,146463,165063,12405,
Liberty,6125,9531,426,
Pickens,11651,1977,354,
Pulaski,2436,1104,58,
Stewart,805,1220,28,
Glynn,21482,11738,821,
Decatur,6009,4104,125,
Warren,991,1313,28,
Elbert,5269,2507,136,
Gilmer,10465,1955,293,
Towns,5377,1206,143,
Glascock,1235,138,17,
Grady,6047,3005,135,
Colquitt,9892,3460,240,
Oglethorpe,4622,1829,199,
Henry,45641,49902,2494,
Gordon,15171,3176,503,
Candler,2661,1023,73,
Putnam,6516,2745,170,
Monroe,8821,3570,284,
Cobb,152602,159416,14406,
Lee,10641,3166,299,
Echols,1006,156,13,
Coweta,42513,16572,2230,
White,9751,1672,348,
Lamar,5183,2267,125,
Quitman,575,461,8,
Turner,2094,1243,53,
Bibb,22589,34383,1355,
Crawford,3632,1419,106,
Polk,11006,2863,289,
Marion,1921,1213,49,
Wilcox,2096,852,25,
Dade,5047,965,226,
Houston,35351,22460,1748,
