2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,3901,385,1213,
Madison,8941,1201,5545,
Butte,914,160,156,
Caribou,2275,271,489,
Minidoka,4887,1167,816,
Washington,3283,776,395,
Boundary,3789,933,428,
Clark,203,44,36,
Cassia,5949,1036,1193,
Nez Perce,10699,4828,1668,
Custer,1777,427,209,
Bear Lake,2203,255,470,
Lincoln,1184,360,204,
Fremont,4091,651,972,
Owyhee,3052,591,277,
Adams,1556,415,212,
Clearwater,2852,704,245,
Jefferson,8436,976,2059,
Bonneville,26699,8930,8583,
Gooding,3743,930,518,
Lemhi,3011,733,324,
Oneida,1531,184,353,
Teton,2161,2157,648,
Gem,5980,1229,743,
Shoshone,3297,1384,439,
Bingham,10907,2924,2794,
Twin Falls,21063,6844,3986,
Bonner,10220,5140,1455,
Valley,2906,1913,530,
Benewah,3101,780,311,
Blaine,3340,6416,967,
Lewis,1202,270,118,
Canyon,46755,16683,8569,
Boise,2673,777,362,
Payette,4306,892,505,
Latah,7255,8093,2798,
Bannock,17180,10342,5883,
Jerome,7347,2117,1203,
Camas,410,110,79,
Kootenai,44449,16264,5573,
Idaho,6441,1196,586,
Power,1666,699,393,
Ada,93748,75676,26163,
Elmore,5816,1814,889,
