2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,8665,1967,358,
Jay,5697,1889,376,
Jackson,12857,3843,832,
Lake,75565,116896,7786,
Fayette,6839,2252,439,
Orange,5800,2048,341,
Parke,4863,1441,272,
Boone,19654,10181,2226,
Knox,11077,3772,634,
Elkhart,41810,20667,2710,
Perry,4556,3062,407,
Howard,23675,11215,1864,
LaPorte,22678,19795,2521,
Owen,6151,1946,423,
Tippecanoe,30711,27207,3998,
Pike,4398,1297,282,
Floyd,21427,13939,1859,
LaGrange,7025,2080,447,
Randolph,7515,2446,495,
Kosciusko,23909,6311,1687,
Clay,8528,2306,425,
Noble,12198,3904,788,
Montgomery,11051,3362,688,
Steuben,10127,3741,662,
Daviess,8545,1800,391,
Marshall,12286,4798,924,
Tipton,5589,1587,334,
Allen,83801,55222,6764,
Delaware,24217,18100,2382,
Spencer,6572,2861,526,
Clinton,8530,2819,547,
DeKalb,12054,3941,821,
Wayne,16028,8322,1225,
Newton,4074,1403,314,
Harrison,12993,4776,759,
Sullivan,6138,2113,308,
Bartholomew,20637,9841,1911,
Shelby,12718,4247,970,
Wells,9999,2585,539,
Dubois,13365,5389,1163,
Fulton,6010,1960,404,
Brown,5015,2518,375,
Cass,9697,3758,680,
Madison,32376,18595,2689,
Vermillion,4511,2081,321,
Wabash,9819,3018,578,
Fountain,5661,1476,337,
Hancock,25050,8901,2076,
Huntington,11649,3506,819,
St. Joseph,52019,52247,5186,
Jennings,8222,2364,529,
Vanderburgh,40422,28296,3239,
Pulaski,3854,1327,256,
Union,2445,715,126,
Washington,8206,2636,491,
Decatur,8488,2121,486,
Warren,2896,839,184,
Morgan,23671,6037,1472,
Clark,30012,18791,2301,
Vigo,21924,15922,1723,
Hamilton,87299,57214,9117,
Porter,38719,33531,4242,
Hendricks,48326,22595,4337,
Henry,13895,5124,1056,
Rush,5292,1525,397,
Grant,17009,7029,1201,
Putnam,10637,3356,687,
Johnson,45456,17318,3455,
Adams,9642,2802,595,
Jefferson,8538,4325,598,
Lawrence,14034,4210,832,
Warrick,19133,9086,1390,
Monroe,20527,34183,2913,
Benton,2579,860,215,
Martin,3695,881,231,
Gibson,11079,3720,673,
Switzerland,2558,930,151,
Ripley,9806,2471,513,
Miami,9975,2766,699,
Whitley,11357,3379,799,
Carroll,6273,1891,445,
Jasper,9382,3329,620,
Posey,8393,3515,540,
White,6813,2563,526,
Crawford,3013,1323,255,
Blackford,3349,1243,230,
Ohio,2118,686,113,
Dearborn,18110,4883,917,
Marion,130228,212676,18166,
Starke,6367,2489,370,
Greene,10275,2929,559,
Scott,6074,2642,344,
