2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,11819,10717,1304,
Calloway,10367,4749,923,
Letcher,7293,1542,296,
Bath,3082,1361,134,
Carter,7587,2276,404,
Fayette,56890,69776,9446,
Boone,39082,15026,3442,
Fleming,4722,1348,180,
Pike,19740,4277,620,
Floyd,11993,4015,513,
Hardin,26970,13944,2199,
Lincoln,7338,1865,352,
Kenton,42958,24213,4734,
Nelson,13430,6434,897,
Muhlenberg,9393,3272,381,
Breckinridge,6484,1960,321,
Montgomery,7856,3158,423,
Boyd,13591,6021,831,
Laurel,20592,3440,779,
Daviess,28907,14163,2682,
Cumberland,2502,459,100,
Allen,6466,1349,270,
Spencer,7196,1921,392,
Webster,4397,1240,167,
Wayne,6370,1431,187,
Russell,6863,1093,215,
Logan,7778,2755,363,
Mason,4944,1970,298,
Robertson,759,222,32,
Hart,5320,1730,211,
Leslie,4015,400,72,
Bell,7764,1720,230,
Rockcastle,5609,915,162,
Owsley,1474,256,27,
Hancock,2788,1244,260,
Union,4701,1331,177,
Washington,4013,1420,188,
Morgan,3628,1006,132,
Elliott,2000,740,107,
Butler,4428,947,200,
Crittenden,3290,617,129,
Simpson,5077,2144,303,
Pendleton,4604,1164,238,
Johnson,8043,1250,267,
Jefferson,143758,190824,18196,
Lawrence,4816,1045,176,
Lyon,2789,1045,125,
Martin,3503,363,85,
Caldwell,4507,1260,205,
Whitley,11312,2067,386,
Carroll,2588,1106,157,
Edmonson,4135,979,125,
Todd,3612,1042,117,
Woodford,7697,4958,892,
Henderson,12159,6707,826,
Trigg,4928,1587,225,
Mercer,7740,2395,444,
Scott,15052,7713,1394,
Garrard,5904,1453,256,
Meade,8660,3026,537,
Magoffin,3824,1172,117,
Gallatin,2443,749,142,
Jackson,4889,482,126,
Carlisle,2094,432,73,
Knox,9885,1761,355,
Larue,4799,1278,282,
Perry,8158,2136,272,
Owen,3745,1062,190,
Knott,4357,1245,154,
Greenup,11546,4146,573,
Clay,5861,752,149,
McCreary,5012,664,96,
Taylor,8320,2553,428,
Campbell,25050,14658,2763,
Nicholas,1957,787,93,
Marshall,12322,3672,684,
Clinton,3809,547,98,
Bullitt,26210,8255,1571,
Graves,12671,3308,603,
Harrison,5435,2031,308,
McCracken,20774,9134,1376,
Shelby,13196,6276,1091,
Powell,3513,1272,167,
Fulton,1549,774,58,
McLean,3381,988,196,
Madison,23431,11793,2094,
Oldham,20469,10268,2101,
Estill,4236,1108,194,
Hopkins,15277,4310,738,
Jessamine,15474,6144,1674,
Wolfe,1804,753,77,
Pulaski,22900,4208,907,
Rowan,5174,3295,360,
Ballard,3161,816,120,
Warren,28673,16966,2777,
Clark,10710,4706,777,
Trimble,2771,879,136,
Bourbon,5569,2791,431,
Grayson,8219,1959,386,
Henry,4944,1828,370,
Grant,7268,1910,373,
Hickman,1657,449,51,
Barren,13483,4275,715,
Adair,6637,1323,268,
Livingston,3570,887,185,
Harlan,9129,1372,243,
Monroe,4278,601,112,
Bracken,2711,705,106,
Menifee,2010,700,69,
Anderson,8242,2634,538,
Lee,2151,444,68,
Breathitt,3991,1537,200,
Boyle,8040,4281,607,
Metcalfe,3491,976,149,
Casey,5482,767,189,
Lewis,4363,785,145,
Christian,14108,7188,773,
Ohio,7942,2080,376,
Marion,5122,2679,307,
Green,4372,832,127,
