2016 US Presidential Election,Trump,Clinton,Independent,
Big Stone,1607,921,201,
Kanabec,5230,2327,568,
Morrison,12925,3637,972,
Fillmore,6271,3872,833,
Crow Wing,22287,10982,2299,
Jackson,3609,1492,352,
Lake,2932,3077,463,
Pennington,4000,2146,525,
Pipestone,3338,1127,314,
Chisago,18441,9279,2289,
Carver,29057,21508,4537,
Traverse,1050,631,110,
Mower,8826,7444,1317,
Lake of the Woods,1540,553,137,
McLeod,12155,4978,1551,
Waseca,5967,2838,774,
Lincoln,1930,860,212,
Watonwan,2768,1814,389,
Clay,13549,12974,2585,
Rock,3091,1373,343,
Kandiyohi,12785,7266,1597,
Becker,10880,5208,1002,
Wadena,4837,1684,373,
Blue Earth,15667,14428,3161,
Meeker,8103,3192,903,
Marshall,3208,1225,361,
Le Sueur,9182,4623,1062,
Steele,11198,6239,1603,
Hennepin,191768,429283,51593,
Douglas,13966,6227,1430,
Wabasha,6989,3866,909,
Pine,8191,4580,958,
Isanti,13635,5656,1584,
Wilkin,2129,893,257,
Swift,2962,1679,327,
Nobles,5299,2733,560,
Brown,8708,3763,1192,
Cass,9982,4949,954,
Faribault,4659,2153,543,
Dodge,6527,3102,935,
Cook,1156,1912,292,
Wright,43274,20336,5544,
Lac Qui Parle,2294,1301,240,
Murray,2974,1295,373,
Aitkin,5516,3134,535,
Washington,64429,67086,11328,
Redwood,5137,1887,542,
Mille Lacs,8340,3709,899,
Koochiching,3569,2306,438,
Winona,12122,11366,2364,
Carlton,8160,8460,1439,
Roseau,5451,1856,460,
St. Louis,44631,57769,8860,
Olmsted,35668,36266,7343,
Ramsey,70778,176929,21454,
Anoka,93341,75499,15244,
Rice,15429,14437,2351,
Yellow Medicine,3382,1524,347,
Grant,2063,1104,286,
Norman,1699,1264,269,
Stevens,2800,2116,434,
Clearwater,2925,1100,200,
Lyon,7256,3825,1048,
Otter Tail,20939,9339,2006,
Chippewa,3764,1978,440,
Benton,12872,5640,1399,
Martin,7062,2733,674,
Renville,4890,2117,556,
Sibley,5193,1954,580,
Kittson,1349,823,191,
Stearns,47618,25575,5792,
Beltrami,10783,8688,1845,
Mahnomen,991,930,153,
Pope,3793,2106,395,
Goodhue,14041,9446,2051,
Cottonwood,3679,1678,340,
Sherburne,31049,13299,3590,
Polk,8979,4712,1007,
Itasca,12920,9015,1715,
Freeborn,8808,6041,1080,
Dakota,99624,110251,18784,
Hubbard,7269,3432,722,
Todd,8485,2783,676,
Nicollet,8436,7886,1592,
Houston,5616,4145,754,
Red Lake,1141,540,190,
Scott,39948,28502,5940,
