2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,35420,12339,2286,
Dent,5599,978,201,
Ray,7103,3088,644,
Carter,2323,436,83,
Cedar,5019,1010,249,
Boone,36146,41072,6094,
Howard,3277,1279,295,
Pike,5274,1806,295,
Pemiscot,3964,1946,115,
St. Clair,3501,936,193,
Lincoln,18111,5561,1185,
Camden,16721,4706,755,
Gasconade,5670,1519,255,
Macon,5794,1518,267,
Cole,24610,10907,1744,
Montgomery,4124,1118,182,
Daviess,2763,730,196,
Maries,3559,794,145,
Bollinger,4827,705,137,
Nodaway,6379,2529,531,
Buchanan,21315,12010,2238,
Webster,12829,3173,688,
DeKalb,3540,824,226,
Wayne,4640,946,152,
Mississippi,3600,1458,107,
Newton,20546,4988,972,
Douglas,5486,984,194,
Sullivan,1884,526,74,
Taney,18240,4367,792,
Linn,4084,1239,249,
Cass,33006,14816,2893,
Cape Girardeau,26939,8468,1468,
Howell,13888,2880,647,
Saline,5977,2787,481,
Washington,7047,1926,306,
Morgan,6757,1768,290,
Ste. Genevieve,5495,2540,424,
Dallas,5895,1271,274,
St. Louis,20281,101487,5635,
Butler,13647,3036,549,
Gentry,2304,605,124,
Johnson,13702,5924,1461,
Reynolds,2402,540,90,
Jefferson,68973,31546,5450,
Lawrence,13084,2898,692,
Benton,7212,2024,348,
Caldwell,3231,837,241,
Phelps,12699,4761,1039,
Ripley,4520,830,168,
Carroll,3480,745,136,
Jasper,35058,10565,2556,
Pettis,12792,4322,931,
Cooper,5623,1932,421,
Greene,77387,42400,7822,
Mercer,1486,216,37,
Scott,13168,3574,502,
Jackson,114777,163723,15563,
Shannon,2966,776,162,
Stone,13149,2886,503,
Knox,1413,379,75,
Worth,808,195,43,
Perry,6907,1520,305,
Randolph,7529,2283,497,
Hickory,3539,1016,162,
Clay,57328,45182,6727,
Moniteau,5344,1237,227,
Platte,24975,18915,2751,
Andrew,6665,2045,430,
Barton,4958,795,179,
Bates,6000,1617,404,
Dunklin,8026,2360,188,
Clinton,7058,2572,567,
Laclede,12834,2543,582,
Harrison,2965,574,143,
Chariton,2948,888,126,
Barry,11427,2710,467,
St. Charles,120899,68225,10389,
Miller,9285,1750,379,
Texas,8875,1728,332,
Shelby,2524,606,122,
Oregon,3668,865,131,
Madison,4102,1005,211,
New Madrid,5270,1933,149,
Wright,6703,1166,217,
Scotland,1525,365,78,
Iron,3173,933,154,
Holt,1926,346,76,
Pulaski,9870,2918,655,
McDonald,6599,1329,305,
Warren,11109,3915,742,
Clark,2458,724,134,
Schuyler,1505,354,74,
Atchison,2059,541,123,
Grundy,3462,780,171,
Henry,7072,2356,427,
Putnam,1936,352,54,
Adair,6019,3495,623,
Livingston,4879,1265,264,
Monroe,3159,853,135,
Stoddard,11077,1873,328,
Vernon,6526,1706,344,
Lafayette,10977,4047,791,
Osage,5845,998,235,
Ralls,3969,1138,159,
Audrain,6981,2567,495,
Lewis,3343,933,176,
St. Francois,17467,6250,997,
Christian,30941,8505,1948,
Crawford,7724,1824,372,
Polk,10435,2630,644,
Callaway,13052,4988,1087,
Marion,9418,2993,491,
Ozark,3639,724,138,
Dade,3184,637,130,
