2016 US Presidential Election,Trump,Clinton,Independent,
Treasure,350,59,32,
Judith Basin,867,232,90,
McCone,858,154,44,
Pondera,1786,737,169,
Prairie,555,100,31,
Gallatin,23360,23879,4930,
Lake,7453,4703,742,
Carter,677,70,30,
Golden Valley,365,71,32,
Richland,3885,669,258,
Rosebud,2211,969,177,
Chouteau,1676,729,166,
Missoula,21699,30740,4832,
Silver Bow,6252,8545,1325,
Yellowstone,38675,21117,4883,
Custer,3638,1172,335,
Lincoln,6720,2040,490,
Ravalli,14673,6166,1224,
Roosevelt,1722,1504,260,
Wheatland,698,179,55,
Glacier,1598,3076,295,
Musselshell,1961,331,112,
Sanders,4268,1211,392,
Petroleum,276,30,13,
Park,4872,3521,663,
Sheridan,1237,476,112,
Flathead,30079,13233,2832,
Valley,2697,886,277,
Powell,2017,549,202,
Dawson,3298,786,213,
Madison,3280,1175,253,
Hill,3446,2350,551,
Garfield,653,34,28,
Fergus,4235,1196,351,
Fallon,1276,154,44,
Big Horn,1833,2061,254,
Liberty,695,205,49,
Phillips,1715,315,117,
Granite,1185,469,108,
Broadwater,2329,566,202,
Beaverhead,3243,1115,318,
Meagher,728,191,51,
Stillwater,3630,904,282,
Powder River,880,127,40,
Cascade,19343,12053,2395,
Lewis and Clark,16665,14331,2701,
Mineral,1322,515,137,
Jefferson,4099,1975,461,
Carbon,3729,1824,370,
Sweet Grass,1580,398,99,
Teton,2152,803,188,
Deer Lodge,1736,2018,345,
Blaine,1259,1187,175,
Daniels,729,167,56,
Toole,1495,399,124,
Wibaux,460,55,18,
