2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,16320,12811,771,
Haywood,18844,10414,898,
Johnston,54082,28153,2318,
Orange,18373,59105,2352,
McDowell,14517,4645,395,
New Hanover,54665,50219,3853,
Iredell,54164,24441,2122,
Guilford,97461,147949,6677,
Carteret,26228,9806,885,
Lincoln,28653,9836,960,
Hertford,3081,6886,133,
Camden,3527,1266,146,
Brunswick,42440,23117,1698,
Burke,25741,10930,967,
Cherokee,10711,2809,340,
Macon,12035,4841,460,
Montgomery,7070,4108,271,
Beaufort,14478,8699,422,
Cumberland,50593,70523,3286,
Wilkes,23613,6596,635,
Wayne,27360,21520,944,
Mecklenburg,154303,292258,15273,
Granville,13500,12827,593,
Yancey,6367,3181,260,
Columbus,14177,8991,304,
Avery,6226,1670,164,
Person,11116,7772,415,
Pender,17317,9086,669,
Sampson,14761,10486,391,
Stanly,21788,7008,655,
Nash,23142,23024,737,
Vance,7304,12168,290,
Union,66265,34051,3280,
Washington,2560,3490,65,
Gaston,61467,30982,2423,
Caswell,5758,4549,208,
Hyde,1275,956,42,
Jones,2941,2041,57,
Alleghany,3789,1300,125,
Mitchell,6225,1585,138,
Chowan,3983,2965,160,
Forsyth,74793,92488,5228,
Chatham,17012,20953,1115,
Currituck,9070,2879,474,
Tyrrell,968,705,27,
Craven,27556,17481,1194,
Cabarrus,53224,35048,2730,
Martin,5874,5814,164,
Caldwell,26499,8403,845,
Halifax,8954,15642,285,
Yadkin,13815,3140,395,
Perquimans,4143,2291,161,
Pitt,35191,40967,2106,
Henderson,35535,19664,1611,
Greene,4358,3570,85,
Northampton,3556,6113,92,
Graham,3260,761,73,
Alamance,38235,29268,1761,
Jackson,9706,7564,734,
Swain,3557,2186,239,
Watauga,13521,13953,1295,
Pamlico,4225,2427,120,
Transylvania,10441,6520,479,
Robeson,20294,18377,783,
Moore,30273,16148,1325,
Onslow,36342,17156,1866,
Rutherford,21694,7451,619,
Randolph,49156,13074,1385,
Clay,4395,1352,138,
Bertie,3476,5837,67,
Buncombe,55339,74937,4231,
Dare,11283,7079,647,
Harnett,27278,16452,1225,
Lenoir,13354,11752,394,
Stokes,16976,4645,561,
Davie,15502,5228,620,
Durham,27879,118783,3881,
Richmond,10199,8290,324,
Surry,23495,7438,730,
Madison,6735,3899,332,
Alexander,13826,3750,435,
Bladen,8511,7021,211,
Scotland,6212,7279,252,
Cleveland,28394,14896,847,
Edgecombe,8219,16152,282,
Ashe,9353,3476,331,
Rowan,42388,19208,1482,
Pasquotank,8082,8455,427,
Warren,3302,6668,153,
Rockingham,26463,14057,854,
Davidson,52870,17328,1815,
Anson,4480,5785,129,
Hoke,7676,9608,563,
Wilson,17410,19527,656,
Lee,13625,10380,671,
Wake,193607,298353,18980,
Catawba,48062,21050,1953,
Polk,6738,3715,270,
Duplin,12151,8196,254,
Gates,2851,2371,106,
