2016 US Presidential Election,Trump,Clinton,Independent,
Bottineau,2482,734,221,
Burleigh,32499,10865,3510,
Bowman,1445,227,97,
Cavalier,1356,476,137,
Hettinger,1032,168,61,
Griggs,847,298,102,
Golden Valley,793,99,50,
Richland,4759,2064,637,
Traill,2263,1239,362,
Divide,860,243,84,
Dunn,1753,356,90,
Billings,492,58,42,
McIntosh,1095,233,95,
Pierce,1433,431,156,
McKenzie,3661,696,237,
Burke,879,118,34,
LaMoure,1475,500,140,
Nelson,1025,536,133,
Benson,927,842,171,
Steele,537,361,86,
Sheridan,644,94,36,
Logan,867,112,51,
Eddy,790,354,75,
Ward,18601,5792,2468,
Mountrail,2551,1211,247,
Wells,1793,419,140,
Dickey,1656,551,165,
McLean,3827,1070,309,
Cass,39738,31291,7778,
Rolette,1210,2097,355,
Pembina,2204,681,208,
Ransom,1209,836,272,
Sargent,1088,693,197,
Slope,361,42,24,
Williams,10033,1722,774,
Morton,11319,3077,1151,
McHenry,1991,474,222,
Kidder,1106,179,73,
Emmons,1672,215,72,
Ramsey,3216,1505,497,
Sioux,256,758,163,
Walsh,2991,1166,386,
Grant,1098,187,76,
Barnes,3156,1597,500,
Oliver,827,119,56,
Adams,904,216,86,
Renville,978,200,77,
Foster,1237,346,116,
Stutsman,6706,2484,748,
Towner,733,305,99,
Grand Forks,16325,10828,2558,
Stark,9718,1745,652,
Mercer,3715,616,233,
