2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,1345,250,61,
Cherry,2623,317,142,
Arthur,237,16,10,
Seward,5451,1881,422,
Stanton,2173,417,158,
Fillmore,2100,610,169,
Hayes,471,30,9,
Cedar,3533,572,255,
Keya Paha,458,39,17,
Merrick,2914,601,192,
Boone,2299,414,154,
Knox,3181,715,165,
Pierce,3052,382,146,
Howard,2284,544,130,
Custer,4616,635,238,
Lincoln,11992,2878,804,
Hooker,355,40,19,
Buffalo,14424,4690,1363,
Colfax,2171,857,144,
Cuming,3095,712,181,
Clay,2373,470,130,
Platte,10864,2612,571,
Rock,687,70,36,
Boyd,978,128,36,
Gosper,792,165,43,
Hitchcock,1216,158,66,
Saunders,7486,2509,603,
Chase,1621,171,59,
Sheridan,2192,286,87,
Webster,1320,306,61,
Cheyenne,3610,702,257,
Wayne,2675,828,237,
Douglas,102151,105207,12173,
Keith,3203,560,182,
Logan,400,32,19,
Valley,1770,337,65,
Nemaha,2068,765,202,
Otoe,4833,2017,429,
Thurston,1013,911,105,
Dawson,5935,2116,435,
Brown,1380,153,46,
Cass,8388,3461,760,
Madison,10518,2663,775,
Morrill,1788,282,96,
Dawes,2559,785,234,
Furnas,1915,304,96,
Garfield,819,121,28,
Dodge,9736,4451,772,
York,4686,1181,389,
Dundy,823,89,37,
Thayer,1993,490,130,
Saline,2849,1630,316,
Holt,4275,522,182,
Kearney,2519,550,173,
Washington,7374,2606,604,
Hamilton,3763,873,266,
Sherman,1143,338,72,
Loup,323,48,11,
Pawnee,970,279,65,
Red Willow,4212,638,211,
Wheeler,377,62,20,
Butler,3068,690,156,
Sioux,602,77,30,
Kimball,1317,227,92,
Thomas,344,30,13,
Garden,869,153,41,
Grant,367,20,7,
Johnson,1348,560,143,
Perkins,1202,160,56,
Nance,1257,280,62,
Adams,9205,3272,695,
Banner,355,18,17,
Jefferson,2387,831,212,
Lancaster,60456,60533,8814,
Harlan,1302,219,61,
Burt,2360,928,235,
Frontier,1106,161,43,
McPherson,257,14,15,
Phelps,3832,571,206,
Nuckolls,1709,348,96,
Sarpy,44649,27704,5428,
Greeley,911,210,44,
Richardson,2684,798,184,
Blaine,273,30,10,
Deuel,809,120,48,
Scotts Bluff,9952,3151,792,
Antelope,2717,381,122,
Polk,2019,411,108,
Gage,6333,2930,591,
Box Butte,3550,953,258,
Hall,14139,6142,1050,
Dakota,4028,2904,327,
Dixon,2041,556,147,
