2016 US Presidential Election,Trump,Clinton,Independent,
Camden,71020,142375,7042,
Bergen,163220,209251,11494,
Hudson,45615,149980,5830,
Passaic,71488,112608,5003,
Cumberland,24213,27045,1760,
Monmouth,165305,135825,10344,
Union,67582,145412,6391,
Hunterdon,38565,28797,3220,
Cape May,28237,18626,1512,
Warren,29393,16991,2058,
Burlington,79539,108361,7088,
Gloucester,66949,66355,5084,
Middlesex,108981,164887,8800,
Ocean,170103,81845,7644,
Salem,16256,11766,1198,
Essex,62059,231031,6718,
Morris,125376,114437,9035,
Atlantic,47882,54472,3384,
Sussex,46486,24132,3242,
Somerset,64640,83839,5770,
Mercer,42604,93721,5007,
