2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,7636,6517,995,
Westchester,121643,245670,11193,
Tioga,12528,6852,1176,
Wyoming,11884,3585,811,
Erie,173817,192065,17366,
Rockland,57148,63454,3341,
Orange,72129,63037,5587,
Genesee,15986,6946,1531,
Cayuga,16194,12202,1728,
Orleans,11582,4327,813,
Chemung,19025,12394,1776,
Albany,44227,74775,6642,
Herkimer,15664,7289,1308,
Seneca,6719,5175,833,
Onondaga,78277,102915,10770,
Montgomery,10579,5961,898,
Steuben,25091,11215,2067,
Delaware,11012,5825,941,
Oneida,48490,30749,4637,
Clinton,13181,13446,1751,
Wayne,21935,12378,2285,
Tompkins,9647,25555,2545,
Columbia,12756,13123,1376,
Niagara,49223,32888,3889,
Suffolk,328403,276953,20364,
Sullivan,14626,10983,900,
Ulster,32962,40010,4162,
Ontario,24343,20233,3088,
Rensselaer,31933,30039,4019,
Richmond,95612,67561,4036,
Fulton,12759,5805,999,
Madison,14901,10548,1943,
Nassau,275479,307326,16844,
Schoharie,8173,3777,723,
Cattaraugus,18668,8717,1576,
Kings,133653,595086,17556,
Washington,12770,8238,1393,
Chenango,11024,5943,1146,
Warren,14284,11366,1918,
Schuyler,5179,2761,483,
Hamilton,1795,752,141,
Otsego,12284,9285,1455,
Cortland,9207,7976,1241,
Essex,7275,6760,1044,
Bronx,34424,318403,6030,
Chautauqua,29418,17281,2682,
New York,58935,515481,16952,
Oswego,25870,15614,2638,
Putnam,25241,17363,1582,
Saratoga,51088,46546,6455,
Schenectady,27268,30870,3491,
Dutchess,58163,56874,5162,
Jefferson,19947,12289,2027,
Livingston,19211,10478,1674,
Monroe,128871,174063,17230,
Yates,5180,3219,576,
Allegany,11712,4473,926,
Queens,138550,473389,15082,
Broome,38077,35212,4368,
Lewis,6916,2828,568,
St. Lawrence,18450,14659,2045,
Greene,11546,6370,953,
