2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,192328,335961,26422,
Tuscarawas,26105,11895,2088,
Preble,15376,4323,776,
Paulding,6359,2068,415,
Coshocton,10381,3908,672,
Columbiana,31086,12273,1902,
Belmont,20729,8652,1156,
Erie,19301,15692,1737,
Jackson,9618,3142,479,
Lake,62627,45056,5107,
Summit,109531,129922,10484,
Fayette,7763,2672,382,
Richland,35805,15629,2305,
Knox,18563,7959,1246,
Cuyahoga,179894,383974,19362,
Perry,9978,4072,597,
Medina,53811,31582,3967,
Pike,7669,3443,401,
Hardin,8541,2870,603,
Ottawa,12389,8136,1217,
Sandusky,16045,9733,1713,
Seneca,14559,7237,1685,
Gallia,9567,2564,457,
Noble,4441,1201,233,
Montgomery,120766,117661,11133,
Muskingum,23588,10926,1703,
Huron,15930,7080,1322,
Athens,10816,15552,1573,
Allen,29858,12815,1963,
Delaware,55660,39584,4857,
Clinton,13466,3943,691,
Van Wert,10328,2667,589,
Meigs,6869,2157,384,
Wayne,31622,14670,2258,
Harrison,5021,1663,272,
Logan,15586,4537,884,
Lorain,65346,64958,6350,
Shelby,18148,4143,819,
Clermont,65960,26096,4399,
Holmes,8578,1766,479,
Fulton,13419,5981,1293,
Brown,14257,4270,612,
Madison,11319,4662,773,
Auglaize,18130,3825,905,
Vinton,3799,1332,262,
Hancock,23777,9419,2020,
Ashtabula,22755,15191,1863,
Union,17601,7530,1402,
Washington,19901,7841,1250,
Mahoning,52808,56188,3831,
Warren,75947,33036,5271,
Morgan,4315,1711,264,
Clark,34311,22666,2643,
Williams,11706,4287,945,
Licking,49346,26360,3693,
Hamilton,169972,207587,17441,
Scioto,19742,8841,1035,
Champaign,12314,4488,795,
Defiance,11478,5282,1035,
Ross,17833,9905,1217,
Morrow,11722,3711,753,
Butler,104441,56700,7281,
Henry,9136,3690,845,
Ashland,17169,5659,1246,
Highland,13005,3436,607,
Putnam,14704,2874,809,
Pickaway,16482,6325,1007,
Darke,19698,4395,907,
Wood,31734,26440,4113,
Adams,8445,2293,325,
Jefferson,20668,9483,1195,
Lawrence,18240,6849,860,
Portage,38978,31463,3527,
Geauga,29577,17165,1994,
Lucas,74102,107363,10219,
Monroe,4781,1647,258,
Miami,36311,12832,2324,
Carroll,9067,3124,616,
Guernsey,11164,4286,706,
Trumbull,48152,42130,3791,
Crawford,13265,4518,919,
Wyandot,7346,2484,566,
Fairfield,43163,24150,3229,
Marion,16563,7748,1337,
Hocking,8282,3713,518,
Stark,96345,66581,7942,
Greene,47506,28023,4104,
Mercer,17200,3335,780,
