2016 US Presidential Election,Trump,Clinton,Independent,
Curry,7157,4253,753,
Klamath,20170,7080,1990,
Clatsop,7794,8899,1465,
Wasco,5721,4634,896,
Yamhill,22589,18635,3892,
Jackson,53083,43550,7156,
Lake,3001,628,185,
Union,8378,3221,866,
Washington,75903,137818,18313,
Coos,17699,10355,2127,
Baker,6160,1781,538,
Sherman,726,202,55,
Josephine,26582,13223,2808,
Clackamas,79062,90187,12887,
Lincoln,9901,12300,1834,
Morrow,2698,1004,287,
Wheeler,583,153,56,
Harney,2904,682,264,
Grant,3187,732,252,
Umatilla,16775,7466,1875,
Jefferson,5337,2892,645,
Wallowa,2825,1097,255,
Lane,66218,100497,14357,
Benton,13030,28431,4116,
Tillamook,6486,5701,1074,
Columbia,12967,9959,2151,
Douglas,34112,13891,3347,
Deschutes,43667,40222,6695,
Multnomah,63055,271754,22953,
Gilliam,632,221,84,
Polk,18333,15741,2956,
Crook,8388,2591,659,
Linn,32683,17456,4585,
Malheur,7141,2213,596,
Marion,54336,48803,7665,
Hood River,3223,6359,801,
