2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,3583,665,108,
Palo Pinto,8222,1700,253,
Dickens,755,128,26,
Zavala,692,2633,65,
Stonewall,555,135,11,
Lynn,1546,403,48,
Austin,9637,2319,299,
Reagan,709,167,24,
Fayette,8648,2127,254,
Presidio,652,1458,93,
Swisher,1671,462,57,
Terrell,287,140,10,
Cooke,13174,2345,375,
La Salle,870,1125,54,
Goliad,2618,973,122,
Hudspeth,503,324,44,
Wilbarger,3166,807,128,
Winkler,1403,420,50,
Cottle,486,84,13,
Ector,24976,10225,1172,
Llano,8283,1825,269,
Cherokee,12896,3466,339,
Irion,660,90,10,
Deaf Smith,2911,1185,105,
San Augustine,2620,907,36,
Parker,46433,8329,1651,
Falls,3438,1682,112,
Rockwall,28396,9633,1500,
Hutchinson,7039,854,233,
Milam,6340,2042,225,
Midland,36896,9993,1864,
Castro,1413,526,57,
Gaines,3907,597,105,
Hockley,5793,1257,232,
Dawson,2636,835,91,
Guadalupe,36495,18308,2417,
Hill,10075,2535,296,
Donley,1225,190,45,
Eastland,6008,776,151,
Washington,10944,3381,422,
Jones,4815,935,182,
Yoakum,1797,426,76,
Williamson,104029,84252,12243,
Fisher,1265,403,54,
Mitchell,1780,353,57,
Motley,571,40,9,
Dallam,1258,222,55,
Upton,961,284,51,
Dallas,261865,458845,29939,
Wheeler,2087,194,25,
Reeves,1417,1659,108,
Lavaca,7339,1170,124,
Shackelford,1378,103,21,
Bee,4743,3443,272,
Jefferson,42828,42404,2131,
Nolan,3551,1029,164,
Harris,544960,706471,51456,
Martin,1453,266,36,
Aransas,7730,2458,279,
Hale,6347,2090,365,
Jasper,10578,2582,191,
Wharton,10149,4238,320,
Delta,1836,400,43,
Travis,126750,306475,29286,
Atascosa,8598,4635,372,
Hall,891,164,34,
Blanco,4212,1244,213,
Red River,3924,1148,75,
Briscoe,625,91,18,
Henderson,23574,5649,632,
Van Zandt,18436,2792,461,
Crosby,1180,468,64,
Starr,2218,9246,227,
Panola,8445,1835,133,
Jackson,4266,904,105,
Sabine,3992,614,36,
Cameron,29432,59319,3053,
Knox,1078,247,33,
Hansford,1730,171,46,
Val Verde,5856,6920,700,
Matagorda,8147,3357,275,
Clay,4376,536,99,
Brooks,613,1937,46,
Gray,6495,699,166,
Taylor,33172,10047,2047,
Comal,44996,14166,2405,
Erath,11205,2159,446,
Hardeman,1207,249,55,
Concho,885,148,34,
Harrison,18712,7130,522,
Ward,2541,780,92,
Bexar,240161,319191,26686,
Tarrant,345683,288001,29148,
Kenedy,84,99,3,
Shelby,7171,1757,144,
Borden,330,31,4,
Fannin,9536,2123,313,
Camp,3201,1260,81,
Randall,43379,8340,2094,
Carson,2617,249,79,
Brown,12010,1621,318,
Archer,3785,394,90,
Sterling,549,70,14,
Foard,383,113,15,
Angelina,21666,7538,666,
Coke,1265,140,18,
Glasscock,553,34,15,
Terry,1295,424,44,
Liberty,18856,4851,448,
Culberson,280,454,28,
DeWitt,5510,1161,151,
San Jacinto,8050,2034,221,
Colorado,6323,1977,180,
Gillespie,10445,2286,392,
Fort Bend,117212,134475,8680,
Young,6587,873,198,
Kent,360,59,14,
Wood,15681,2624,341,
Kaufman,29537,10265,1177,
Collingsworth,983,145,26,
Willacy,1541,3416,125,
McMullen,454,40,3,
Montague,7526,885,193,
Wise,20655,3412,594,
Dimmit,974,2173,78,
Kendall,15663,3633,640,
Zapata,1028,2056,50,
Marion,2968,1156,82,
Somervell,3206,540,130,
Kinney,936,457,31,
Gregg,28693,11623,1049,
Limestone,5747,1748,153,
McLennan,48245,27046,2964,
Crane,1047,299,35,
Gonzales,4580,1567,157,
Orange,25385,5716,660,
Howard,6635,1768,289,
Floyd,1473,435,50,
Hardin,19600,2779,389,
Haskell,1403,314,48,
Kerr,17658,4665,767,
Potter,19499,7620,1211,
Childress,1802,253,29,
Leon,6391,909,107,
Hood,21367,4001,752,
Duval,1316,2783,60,
Montgomery,150188,45744,7151,
Victoria,21253,8843,936,
Smith,58631,22128,2402,
Jim Wells,5411,6688,247,
Newton,2961,978,71,
Frio,1232,1401,50,
Mason,1656,353,44,
Robertson,4665,2203,142,
Baylor,1267,191,34,
Ochiltree,2628,274,79,
Bell,51780,37608,4611,
Brewster,2073,1869,284,
Cass,9182,2250,174,
Hemphill,1460,181,46,
Throckmorton,715,84,9,
San Saba,2025,293,36,
Armstrong,924,70,23,
Wichita,27609,8752,1552,
Jim Hogg,430,1635,54,
Scurry,4403,733,125,
Brazos,38662,23041,4333,
Lubbock,65566,27956,4538,
Brazoria,72653,43075,4568,
Johnson,44370,10976,1924,
Calhoun,4638,2118,201,
Andrews,3925,836,165,
Stephens,3033,348,72,
Caldwell,6516,4663,530,
Jeff Davis,694,422,59,
Edwards,741,302,22,
McCulloch,2546,480,60,
Upshur,13198,2378,342,
Callahan,4858,568,130,
Trinity,4737,1154,91,
Webb,12946,42297,1624,
Lipscomb,1159,135,28,
Nueces,50704,49102,4152,
Burleson,5316,1491,138,
Denton,169175,110000,14112,
Nacogdoches,14751,6822,857,
Titus,6405,2538,233,
Tyler,6601,1243,125,
Rains,3919,619,92,
San Patricio,13004,7825,684,
Bowie,24913,8831,726,
