2016 US Presidential Election,Trump,Clinton,Independent,
Franklin,11358,7839,1387,
Snohomish,116433,167943,25120,
Garfield,841,276,115,
Cowlitz,24066,17842,3577,
Pend Oreille,4364,1932,492,
Whitman,5462,5521,1145,
Spokane,103846,86590,17645,
Okanogan,6305,3980,608,
Pierce,136046,160306,26240,
Clark,90590,90697,14497,
King,197781,657149,55893,
Kitsap,46762,60561,11302,
Skamania,2910,2207,470,
Grays Harbor,13269,11378,2089,
Lincoln,4095,1238,359,
Whatcom,40247,59402,8574,
Grant,18482,7768,2010,
San Juan,2651,7053,885,
Chelan,15070,10770,1575,
Stevens,11059,4348,1031,
Adams,2740,1118,223,
Jefferson,5986,12556,1558,
Benton,45594,25173,6140,
Island,18259,20766,3400,
Asotin,5712,3118,854,
Ferry,2178,1091,291,
Klickitat,5390,3781,688,
Clallam,15685,15154,2146,
Yakima,39593,28484,4229,
Columbia,1491,523,157,
Douglas,7208,3600,659,
Mason,13539,11872,2356,
Pacific,5338,4597,732,
Lewis,16273,7236,1486,
Kittitas,9845,7190,1299,
Walla Walla,10775,7550,1393,
Wahkiakum,1328,824,181,
Skagit,24330,26076,4425,
Thurston,46219,65015,11067,
