2016 US Presidential Election,Trump,Clinton,Independent,
Milwaukee,126091,288986,19893,
Calumet,15345,9634,1450,
Vilas,8169,4769,515,
Florence,1897,666,88,
La Crosse,26384,32402,3999,
Jackson,4907,3821,474,
Richland,4021,3577,364,
Dunn,11487,9025,1517,
Pierce,11260,8380,1449,
Sheboygan,32368,22636,3286,
Marinette,12995,6243,741,
Lincoln,8400,5370,793,
Buffalo,4049,2531,341,
Kenosha,36025,35770,4030,
Racine,46620,42506,4552,
Waushara,7669,3802,490,
Marquette,4712,2808,293,
Rock,31483,39336,4224,
Sauk,14791,14692,1755,
Outagamie,49884,38087,5503,
Ozaukee,30458,20167,2743,
Taylor,6589,2398,430,
Winnebago,43447,37054,5391,
Burnett,5412,2948,359,
Oneida,11677,8103,1057,
Iowa,4809,6669,645,
Columbia,14160,13525,1602,
Douglas,9657,11342,1186,
Waupaca,16013,8303,1175,
Dane,71270,217506,15953,
Price,4562,2671,327,
Manitowoc,23234,14563,2194,
Marathon,39010,26476,3363,
Shawano,12742,6056,899,
Brown,67192,53358,6947,
Walworth,28848,18706,3016,
Dodge,26643,13968,2207,
Trempealeau,7370,5645,566,
Iron,2090,1273,114,
St. Croix,26123,17496,3200,
Sawyer,4625,2846,296,
Washington,51729,20854,3663,
Barron,13595,7881,1038,
Bayfield,4125,4953,413,
Clark,8645,4225,678,
Green Lake,6210,2700,405,
Kewaunee,6616,3623,503,
Waukesha,142521,79200,11552,
Rusk,4564,2171,294,
Ashland,3428,4136,362,
Grant,12347,10047,1657,
Wood,21502,14232,1978,
Adams,5983,3780,344,
Jefferson,23409,16559,2356,
Portage,17310,18524,2289,
Chippewa,17912,11875,1684,
Monroe,11442,7047,1065,
Washburn,5404,3283,372,
Fond du Lac,31044,17391,2659,
Langlade,6436,3260,397,
Menominee,269,1003,7,
Door,8584,8026,788,
Vernon,6994,6351,848,
Lafayette,3977,3288,337,
Eau Claire,23301,27271,3508,
Pepin,2228,1345,173,
Crawford,3844,3426,408,
Oconto,13255,5886,783,
Polk,13864,7568,1259,
Forest,2787,1583,137,
Juneau,7188,4100,448,
Green,8693,9121,977,
